timestamp_sec,flight_state,cf1_act_x,cf1_act_y,cf1_act_z,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_act_x,cf2_act_y,cf2_act_z,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_act_x,cf3_act_y,cf3_act_z,cf3_targ_x,cf3_targ_y,cf3_targ_z,cf4_act_x,cf4_act_y,cf4_act_z,cf4_targ_x,cf4_targ_y,cf4_targ_z
1.309,TAKEOFF,0.3484048545360565,0.4342142343521118,0.025044500827789307,0.25,0.25,0.5,1.723989486694336,0.3170684576034546,0.04802192375063896,1.6,0.1,0.5,1.6620960235595703,1.5412163734436035,0.05756513401865959,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.33,TAKEOFF,0.3484048545360565,0.4342142343521118,0.025044500827789307,0.25,0.25,0.5,1.723989486694336,0.3170684576034546,0.04802192375063896,1.6,0.1,0.5,1.6620960235595703,1.5412163734436035,0.05756513401865959,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.35,TAKEOFF,0.3484048545360565,0.4342142343521118,0.025044500827789307,0.25,0.25,0.5,1.723989486694336,0.3170684576034546,0.04802192375063896,1.6,0.1,0.5,1.6620960235595703,1.5412163734436035,0.05756513401865959,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.37,TAKEOFF,0.3484048545360565,0.4342142343521118,0.025044500827789307,0.25,0.25,0.5,1.723989486694336,0.3170684576034546,0.04802192375063896,1.6,0.1,0.5,1.6626336574554443,1.5397855043411255,0.06268800795078278,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.389,TAKEOFF,0.3396342098712921,0.43210870027542114,0.03378475084900856,0.25,0.25,0.5,1.723989486694336,0.3170684576034546,0.04802192375063896,1.6,0.1,0.5,1.6626336574554443,1.5397855043411255,0.06268800795078278,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.409,TAKEOFF,0.3396342098712921,0.43210870027542114,0.03378475084900856,0.25,0.25,0.5,1.7221295833587646,0.31267255544662476,0.05360819399356842,1.6,0.1,0.5,1.6626336574554443,1.5397855043411255,0.06268800795078278,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.429,TAKEOFF,0.3396342098712921,0.43210870027542114,0.03378475084900856,0.25,0.25,0.5,1.7221295833587646,0.31267255544662476,0.05360819399356842,1.6,0.1,0.5,1.661210060119629,1.541637659072876,0.06603509187698364,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.45,TAKEOFF,0.3396342098712921,0.43210870027542114,0.03378475084900856,0.25,0.25,0.5,1.7221295833587646,0.31267255544662476,0.05360819399356842,1.6,0.1,0.5,1.661210060119629,1.541637659072876,0.06603509187698364,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.47,TAKEOFF,0.3396342098712921,0.43210870027542114,0.03378475084900856,0.25,0.25,0.5,1.7221295833587646,0.31267255544662476,0.05360819399356842,1.6,0.1,0.5,1.661210060119629,1.541637659072876,0.06603509187698364,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.489,TAKEOFF,0.3364643454551697,0.42831119894981384,0.04473598301410675,0.25,0.25,0.5,1.7221295833587646,0.31267255544662476,0.05360819399356842,1.6,0.1,0.5,1.661210060119629,1.541637659072876,0.06603509187698364,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.509,TAKEOFF,0.3364643454551697,0.42831119894981384,0.04473598301410675,0.25,0.25,0.5,1.718766212463379,0.3074367940425873,0.0600304901599884,1.6,0.1,0.5,1.661210060119629,1.541637659072876,0.06603509187698364,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.529,TAKEOFF,0.3364643454551697,0.42831119894981384,0.04473598301410675,0.25,0.25,0.5,1.718766212463379,0.3074367940425873,0.0600304901599884,1.6,0.1,0.5,1.661210060119629,1.541637659072876,0.06603509187698364,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.55,TAKEOFF,0.3364643454551697,0.42831119894981384,0.04473598301410675,0.25,0.25,0.5,1.718766212463379,0.3074367940425873,0.0600304901599884,1.6,0.1,0.5,1.6570452451705933,1.546768069267273,0.07058975100517273,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.571,TAKEOFF,0.3364643454551697,0.42831119894981384,0.04473598301410675,0.25,0.25,0.5,1.718766212463379,0.3074367940425873,0.0600304901599884,1.6,0.1,0.5,1.6570452451705933,1.546768069267273,0.07058975100517273,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.591,TAKEOFF,0.3339376151561737,0.41582223773002625,0.050660502165555954,0.25,0.25,0.5,1.718766212463379,0.3074367940425873,0.0600304901599884,1.6,0.1,0.5,1.6570452451705933,1.546768069267273,0.07058975100517273,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.609,TAKEOFF,0.3339376151561737,0.41582223773002625,0.050660502165555954,0.25,0.25,0.5,1.7153236865997314,0.30075690150260925,0.06844279170036316,1.6,0.1,0.5,1.6570452451705933,1.546768069267273,0.07058975100517273,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.63,TAKEOFF,0.3339376151561737,0.41582223773002625,0.050660502165555954,0.25,0.25,0.5,1.7153236865997314,0.30075690150260925,0.06844279170036316,1.6,0.1,0.5,1.6570452451705933,1.546768069267273,0.07058975100517273,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.65,TAKEOFF,0.3339376151561737,0.41582223773002625,0.050660502165555954,0.25,0.25,0.5,1.7153236865997314,0.30075690150260925,0.06844279170036316,1.6,0.1,0.5,1.6552679538726807,1.5471991300582886,0.07998344302177429,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.67,TAKEOFF,0.3339376151561737,0.41582223773002625,0.050660502165555954,0.25,0.25,0.5,1.7153236865997314,0.30075690150260925,0.06844279170036316,1.6,0.1,0.5,1.6552679538726807,1.5471991300582886,0.07998344302177429,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.69,TAKEOFF,0.3292893171310425,0.4084947109222412,0.05491342023015022,0.25,0.25,0.5,1.7153236865997314,0.30075690150260925,0.06844279170036316,1.6,0.1,0.5,1.6552679538726807,1.5471991300582886,0.07998344302177429,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.71,TAKEOFF,0.3292893171310425,0.4084947109222412,0.05491342023015022,0.25,0.25,0.5,1.7129179239273071,0.29275181889533997,0.07675578445196152,1.6,0.1,0.5,1.6552679538726807,1.5471991300582886,0.07998344302177429,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.73,TAKEOFF,0.3292893171310425,0.4084947109222412,0.05491342023015022,0.25,0.25,0.5,1.7129179239273071,0.29275181889533997,0.07675578445196152,1.6,0.1,0.5,1.6552679538726807,1.5471991300582886,0.07998344302177429,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.75,TAKEOFF,0.3292893171310425,0.4084947109222412,0.05491342023015022,0.25,0.25,0.5,1.7129179239273071,0.29275181889533997,0.07675578445196152,1.6,0.1,0.5,1.6496009826660156,1.55081307888031,0.09170342981815338,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.77,TAKEOFF,0.3292893171310425,0.4084947109222412,0.05491342023015022,0.25,0.25,0.5,1.7129179239273071,0.29275181889533997,0.07675578445196152,1.6,0.1,0.5,1.6496009826660156,1.55081307888031,0.09170342981815338,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.789,TAKEOFF,0.32720205187797546,0.40314170718193054,0.061312638223171234,0.25,0.25,0.5,1.7129179239273071,0.29275181889533997,0.07675578445196152,1.6,0.1,0.5,1.6496009826660156,1.55081307888031,0.09170342981815338,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.81,TAKEOFF,0.32720205187797546,0.40314170718193054,0.061312638223171234,0.25,0.25,0.5,1.7083708047866821,0.28995245695114136,0.07843586057424545,1.6,0.1,0.5,1.6496009826660156,1.55081307888031,0.09170342981815338,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.83,TAKEOFF,0.32720205187797546,0.40314170718193054,0.061312638223171234,0.25,0.25,0.5,1.7083708047866821,0.28995245695114136,0.07843586057424545,1.6,0.1,0.5,1.6496009826660156,1.55081307888031,0.09170342981815338,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.85,TAKEOFF,0.32720205187797546,0.40314170718193054,0.061312638223171234,0.25,0.25,0.5,1.7083708047866821,0.28995245695114136,0.07843586057424545,1.6,0.1,0.5,1.647064208984375,1.5542031526565552,0.10063715279102325,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.87,TAKEOFF,0.32720205187797546,0.40314170718193054,0.061312638223171234,0.25,0.25,0.5,1.7083708047866821,0.28995245695114136,0.07843586057424545,1.6,0.1,0.5,1.647064208984375,1.5542031526565552,0.10063715279102325,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.89,TAKEOFF,0.32550472021102905,0.3965808153152466,0.06799760460853577,0.25,0.25,0.5,1.7083708047866821,0.28995245695114136,0.07843586057424545,1.6,0.1,0.5,1.647064208984375,1.5542031526565552,0.10063715279102325,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.91,TAKEOFF,0.32550472021102905,0.3965808153152466,0.06799760460853577,0.25,0.25,0.5,1.704331636428833,0.28464940190315247,0.08402059972286224,1.6,0.1,0.5,1.647064208984375,1.5542031526565552,0.10063715279102325,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.931,TAKEOFF,0.32550472021102905,0.3965808153152466,0.06799760460853577,0.25,0.25,0.5,1.704331636428833,0.28464940190315247,0.08402059972286224,1.6,0.1,0.5,1.647064208984375,1.5542031526565552,0.10063715279102325,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.95,TAKEOFF,0.32550472021102905,0.3965808153152466,0.06799760460853577,0.25,0.25,0.5,1.704331636428833,0.28464940190315247,0.08402059972286224,1.6,0.1,0.5,1.6447356939315796,1.5557831525802612,0.10875999927520752,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
